Size,Time
1,0.001
2,0.000
3,0.000
4,0.000
5,0.001
6,0.001
7,0.002
8,0.004
9,0.007
10,0.017
11,0.018
12,0.044
13,0.077
14,0.147
15,0.274
16,0.508
17,1.078
18,2.380
19,4.855
20,11.074

